month,mkt_excess,Rfree
1980-11,0.10031,0.0096
1980-12,-0.043734,0.0131
1981-01,-0.05377,0.0104
1981-02,0.010567,0.010700000000000001
1981-03,0.026185,0.0121
1981-04,-0.031011,0.0108
1981-05,-0.004961,0.0115
1981-06,-0.021755000000000004,0.013500000000000002
1981-07,-0.011686,0.0124
1981-08,-0.06834,0.0128
1981-09,-0.06286599999999999,0.0124
1981-10,0.040015,0.0121
1981-11,0.033127,0.010700000000000001
1981-12,-0.035759,0.0087
1982-01,-0.023367,0.008
1982-02,-0.059641,0.0092
1982-03,-0.016605,0.0098
1982-04,0.03025,0.0113
1982-05,-0.040105,0.0106
1982-06,-0.025379,0.0096
1982-07,-0.030699000000000004,0.0105
1982-08,0.11980199999999999,0.0076
1982-09,0.005396,0.0051
1982-10,0.107963,0.0059
1982-11,0.039454,0.0063
1982-12,0.010134999999999998,0.0067
1983-01,0.028392999999999998,0.0069
1983-02,0.019533,0.0062
1983-03,0.02917,0.0063
1983-04,0.068619,0.0070999999999999995
1983-05,-0.012587000000000001,0.0069
1983-06,0.030270000000000002,0.0067
1983-07,-0.038638,0.0074
1983-08,0.008264,0.0076
1983-09,0.0065049999999999995,0.0076
1983-10,-0.020708,0.0076
1983-11,0.016846,0.006999999999999999
1983-12,-0.013049,0.0073
1984-01,-0.011498,0.0076
1984-02,-0.041134000000000004,0.0070999999999999995
1984-03,0.009995,0.0073
1984-04,-0.0013190000000000016,0.008100000000000001
1984-05,-0.060931,0.0078000000000000005
1984-06,0.015437,0.0075
1984-07,-0.021965,0.008199999999999999
1984-08,0.104138,0.0083
1984-09,-0.008664,0.0086
1984-10,-0.006669,0.01
1984-11,-0.017141,0.0073
1984-12,0.019156,0.0064
1985-01,0.070368,0.006500000000000001
1985-02,0.008366,0.0058
1985-03,-0.006836,0.0062
1985-04,-0.010904,0.0072
1985-05,0.05614,0.0066
1985-06,0.010564999999999998,0.0055000000000000005
1985-07,-0.009521,0.0062
1985-08,-0.011973000000000001,0.0055000000000000005
1985-09,-0.039248,0.006
1985-10,0.038579,0.006500000000000001
1985-11,0.06578700000000001,0.0060999999999999995
1985-12,0.041656,0.006500000000000001
1986-01,-0.0008940000000000007,0.005600000000000001
1986-02,0.071225,0.0053
1986-03,0.049832,0.006
1986-04,-0.018548000000000002,0.0052
1986-05,0.050426,0.0049
1986-06,0.010544000000000001,0.0052
1986-07,-0.062741,0.0052
1986-08,0.06981699999999999,0.0046
1986-09,-0.087743,0.0045000000000000005
1986-10,0.051938,0.0046
1986-11,0.020975999999999998,0.0039000000000000003
1986-12,-0.032413,0.0049
1987-01,0.130983,0.0042
1987-02,0.037478000000000004,0.0043
1987-03,0.021636,0.004699999999999999
1987-04,-0.013444999999999999,0.0044
1987-05,0.005328000000000001,0.0038
1987-06,0.04534,0.0048
1987-07,0.045243,0.0046
1987-08,0.034407999999999994,0.004699999999999999
1987-09,-0.02644,0.0045000000000000005
1987-10,-0.221795,0.006
1987-11,-0.085374,0.0034999999999999996
1987-12,0.070022,0.0039000000000000003
1988-01,0.039812,0.0029
1988-02,0.042845,0.0046
1988-03,-0.035247,0.0044
1988-04,0.005915999999999999,0.0046
1988-05,0.0029119999999999997,0.0051
1988-06,0.042776,0.0049
1988-07,-0.009558,0.0051
1988-08,-0.038388000000000005,0.0059
1988-09,0.036539,0.0062
1988-10,0.020791000000000004,0.0060999999999999995
1988-11,-0.020055,0.005699999999999999
1988-12,0.012253,0.0063
1989-01,0.066803,0.0055000000000000005
1989-02,-0.031131,0.0060999999999999995
1989-03,0.016338,0.0067
1989-04,0.045007000000000005,0.0067
1989-05,0.033122,0.0079
