month,mkt_excess,Rfree,lty,ltr,tms,tbl,d/p,e/p,d/e,b/m,dfy,dfr,infl,ntis,svar,lzrt,wtexas,ndrbl,skvw,tail,dtoy,dtoat,ygap,rdsp,avgcor
1985-03,-0.006836,0.0062,0.1209,-0.0493,0.0382,0.0827,0.04203692256747061,0.09091726916496494,0.46236455355029055,0.6917391609099618,0.010999999999999996,0.011999999999999997,0.004739336492890933,-0.024518914198169386,0.0007452963352440764,-1.674759188756034,0.007590132827324458,0.008862243507524922,0.05331913381814957,0.4725964665412903,0.9892828525641025,0.9892828525641025,-2.506749403019167,0.019757351899510722,0.24229852855205536
1985-04,-0.010904,0.0072,0.1181,0.0307,0.0329,0.0852,0.042400088564153664,0.09072290490424001,0.4673581452104942,0.7236457790618734,0.011299999999999977,-0.012800000000000002,0.0037735849056603765,-0.024815771189380723,0.0008022855302188757,-1.5778405219595633,0.06591337099811678,-0.014700999795295008,0.05161626264452934,0.478670597076416,0.9749261174732177,0.9749261174732177,-2.5120233223713098,0.032853467491569296,0.21320515871047974
1985-05,0.05614,0.0066,0.1162,0.0242,0.036699999999999997,0.0795,0.042744091642106435,0.08969582383362062,0.4765449473031619,0.7286615900672465,0.012799999999999992,0.005400000000000002,0.0046992481203007586,-0.02241179231329862,0.00045988018255247045,-1.5152835328912717,-0.02473498233215543,-0.012588933202926722,-0.019613487645983696,0.47570958733558655,0.9682151212904815,0.9682151212904815,-2.5195574731108596,0.022435471732958946,0.17038856446743011
1985-06,0.010564999999999998,0.0055000000000000005,0.1062,0.0896,0.0314,0.0748,0.04069285149037193,0.08372461092060142,0.48603213610586016,0.6968929839365673,0.014299999999999993,-0.007599999999999996,0.0037418147801682178,-0.025480930390303958,0.0008338603087621375,-1.5556026548468573,0.009057971014492683,0.0010145035466659037,0.05732263624668121,0.47867903113365173,1.0,1.0,-2.5832300574982554,0.023393575762195907,0.17293238639831543
1985-07,-0.009521,0.0062,0.1055,0.0142,0.03599999999999999,0.0695,0.04034401876465989,0.08136565024758927,0.49583600256246,0.6864301439204469,0.014600000000000002,-0.005900000000000001,0.002795899347623365,-0.026607512615798606,0.000741520264745298,-1.5688890215901574,-0.04129263913824066,0.0413619700157846,0.05017458274960518,0.47708967328071594,1.0,1.0,-2.605565750597929,0.016031865859294107,0.16104282438755035
1985-08,-0.011973000000000001,0.0055000000000000005,0.1091,-0.018,0.0383,0.0708,0.04071511627906977,0.08109836580766813,0.5020460754490321,0.6803220898734647,0.014599999999999988,0.005899999999999999,0.0018587360594795044,-0.02463866284056395,0.00071862985257242,-1.6746935636680829,0.01610486891385765,0.009471651145700082,0.016538141295313835,0.46574246883392334,0.9911072862880093,0.9911072862880093,-2.610216866394004,0.023936479258393453,0.17320416867733002
1985-09,-0.039248,0.006,0.1068,0.0259,0.035400000000000015,0.07139999999999999,0.041386152785877116,0.0814117584689604,0.5083559618928546,0.6871762580490401,0.014499999999999999,9.99999999999994e-05,0.0018552875695732052,-0.024227473716607866,0.000629695328055788,-1.5238269691270543,0.028381865093991987,0.017263091208402276,0.031488727778196335,0.4828539788722992,0.9812215896553246,0.9812215896553246,-2.606541252254455,0.014674876204162681,0.17504501342773438
1985-10,0.038579,0.006500000000000001,0.1082,-0.0021,0.03720000000000001,0.071,0.043057996485061506,0.0836445518453427,0.5147734734077478,0.6899588297720208,0.014100000000000001,0.0092,0.002777777777777768,-0.03129435477489319,0.0008658430718871419,-1.530697482734636,0.04121863799283165,0.028813343360677188,0.04674593359231949,0.4850160479545593,0.977264368830634,0.977264368830634,-2.579847155827597,0.02054783333750544,0.19612295925617218
1985-11,0.06578700000000001,0.0060999999999999995,0.1051,0.0338,0.0335,0.0716,0.041407649352017704,0.07914497945421979,0.5231873157029414,0.6670256346821315,0.013399999999999995,-0.000899999999999998,0.003693444136657398,-0.027069338453186795,0.0009117639772502391,-1.5111370878881163,0.04475043029259895,0.0055114735179482574,0.06307279318571091,0.48156291246414185,0.9990840160806066,0.9990840160806066,-2.633963546718418,0.02320395803370623,0.21656621992588043
1985-12,0.041656,0.006500000000000001,0.1011,0.0401,0.02869999999999999,0.0724,0.038977098481475986,0.07328832170945244,0.5318323243367281,0.6227031580091432,0.014399999999999996,-0.0030999999999999986,0.002759889604415866,-0.02771587706369686,0.0009430684135085147,-1.657664287443825,-0.01878088962108737,-0.039352671207838315,0.07122358679771423,0.4892163872718811,0.9975875692049143,0.9975875692049143,-2.706662181751829,0.020479864225096813,0.22409588098526
